per_idx,Month,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
541,2008-01,1,1,0,1,0,44
542,2008-02,1,1,0,1,0,48
543,2008-03,1,1,0,1,0,49
544,2008-04,1,1,0,1,0,49
545,2008-05,1,1,0,1,0,49
546,2008-06,1,1,0,1,0,45
547,2008-07,1,1,0,1,0,43
548,2008-08,1,1,0,1,0,38
549,2008-09,1,1,0,1,0,35
550,2008-10,1,1,0,1,0,32
551,2008-11,1,1,0,1,0,27
552,2008-12,1,1,0,1,0,26
553,2009-01,1,1,0,1,0,24
554,2009-02,1,1,0,1,0,29
555,2009-03,1,1,0,1,0,31
556,2009-04,1,1,0,1,0,32
557,2009-05,1,1,0,1,0,34
558,2009-06,1,1,0,1,0,37
559,2009-07,1,1,0,1,0,38
560,2009-08,1,1,0,1,0,36
561,2009-09,1,1,0,1,0,30
562,2009-10,1,1,0,1,0,33
563,2009-11,1,1,0,1,0,26
564,2009-12,1,1,0,1,0,24
565,2010-01,1,1,0,1,0,24
566,2010-02,1,1,0,1,0,27
567,2010-03,1,1,0,1,0,36
568,2010-04,1,1,0,1,0,41
569,2010-05,1,1,0,1,0,26
570,2010-06,1,1,0,1,0,28
571,2010-07,1,1,0,1,0,26
572,2010-08,1,1,0,1,0,23
573,2010-09,1,1,0,1,0,25
574,2010-10,1,1,0,1,0,23
575,2010-11,1,1,0,1,0,20
576,2010-12,1,1,0,1,0,23
577,2011-01,1,1,0,1,0,21
578,2011-02,1,1,0,1,0,22
579,2011-03,1,1,0,1,0,28
580,2011-04,1,1,0,1,0,30
581,2011-05,1,1,0,1,0,28
582,2011-06,1,1,0,1,0,28
583,2011-07,1,1,0,1,0,27
584,2011-08,1,1,0,1,0,25
585,2011-09,1,1,0,1,0,24
586,2011-10,1,1,0,1,0,25
587,2011-11,1,1,0,1,0,23
588,2011-12,1,1,0,1,0,24
589,2012-01,1,1,0,1,0,23
590,2012-02,1,1,0,1,0,30
591,2012-03,1,1,0,1,0,34
592,2012-04,1,1,0,1,0,34
593,2012-05,1,1,0,1,0,35
594,2012-06,1,1,0,1,0,34
595,2012-07,1,1,0,1,0,33
596,2012-08,1,1,0,1,0,31
597,2012-09,1,1,0,1,0,30
598,2012-10,1,1,0,1,0,29
599,2012-11,1,1,0,1,0,28
600,2012-12,1,1,0,1,0,28
601,2013-01,1,1,0,1,0,32
602,2013-02,1,1,0,1,0,36
603,2013-03,1,1,0,1,0,41
604,2013-04,1,1,0,1,0,43
605,2013-05,1,1,0,1,0,40
606,2013-06,1,1,0,1,0,43
607,2013-07,1,1,0,1,0,33
608,2013-08,1,1,0,1,0,31
609,2013-09,1,1,0,1,0,31
610,2013-10,1,1,0,1,0,36
611,2013-11,1,1,0,1,0,32
612,2013-12,1,1,0,1,0,31
613,2014-01,1,1,0,1,0,33
614,2014-02,1,1,0,1,0,35
615,2014-03,1,1,0,1,0,39
616,2014-04,1,1,0,1,0,39
617,2014-05,1,1,0,1,0,43
618,2014-06,1,1,0,1,0,38
619,2014-07,1,1,0,1,0,35
620,2014-08,1,1,0,1,0,36
621,2014-09,1,1,0,1,0,37
622,2014-10,1,1,0,1,0,38
623,2014-11,1,1,0,1,0,31
624,2014-12,1,1,0,1,0,35
625,2015-01,1,1,0,1,0,39
626,2015-02,1,1,0,1,0,45
627,2015-03,1,1,0,1,0,46
628,2015-04,1,1,0,1,0,48
629,2015-05,1,1,0,1,0,47
630,2015-06,1,1,0,1,0,44
631,2015-07,1,1,0,1,0,43
632,2015-08,1,1,0,1,0,41
633,2015-09,1,1,0,1,0,35
634,2015-10,1,1,0,1,0,39
635,2015-11,1,1,0,1,0,36
636,2015-12,1,1,0,1,0,38
637,2016-01,1,1,0,1,0,39
638,2016-02,1,1,0,1,0,45
639,2016-03,1,1,0,1,0,50
640,2016-04,1,1,0,1,0,55
641,2016-05,1,1,0,1,0,53
642,2016-06,1,1,0,1,0,50
643,2016-07,1,1,0,1,0,54
644,2016-08,1,1,0,1,0,46
645,2016-09,1,1,0,1,0,44
646,2016-10,1,1,0,1,0,46
647,2016-11,1,1,0,1,0,40
648,2016-12,1,1,0,1,0,39
649,2017-01,1,1,0,1,0,45
650,2017-02,1,1,0,1,0,51
651,2017-03,1,1,0,1,0,61
652,2017-04,1,1,0,1,0,56
653,2017-05,1,1,0,1,0,57
654,2017-06,1,1,0,1,0,56
655,2017-07,1,1,0,1,0,48
656,2017-08,1,1,0,1,0,45
657,2017-09,1,1,0,1,0,50
658,2017-10,1,1,0,1,0,49
659,2017-11,1,1,0,1,0,50
660,2017-12,1,1,0,1,0,45
661,2018-01,1,1,0,1,0,48
662,2018-02,1,1,0,1,0,54
663,2018-03,1,1,0,1,0,66
664,2018-04,1,1,0,1,0,61
665,2018-05,1,1,0,1,0,62
666,2018-06,1,1,0,1,0,56
667,2018-07,1,1,0,1,0,52
668,2018-08,1,1,0,1,0,46
669,2018-09,1,1,0,1,0,41
